paper_id,ee_identifier,title,PI_decision,PI_notes,A_primary,A_final,A_rationale,B_primary,B_final,B_rationale,C_primary,C_final,C_rationale
302,EE-150,Accuracy and safety evaluation of a novel artificial intelligence-based robotic system for autonomous spinal posterior decompression.,exclude,,IN,FLAGGED,"verifier: The specialty is neurosurgery, which is an excluded specialty. While the task is described as 'autonomous', the context is specifically spinal decompression, making it a specialty-specific task and t…",IN,FLAGGED,verifier: The abstract describes an autonomous system performing a *spinal* posterior decompression. Spinal surgery falls within the excluded specialty of neurosurgery. While the abstract mentions autonomous p…,IN,FLAGGED,verifier: The abstract describes an autonomous system performing a *spinal* posterior decompression. Spinal surgery falls within the excluded specialty of neurosurgery. While the abstract mentions autonomous p…
603,EE-451,Automatic Robotic Cranium-Milling: A Motion Control Study of In Vitro Animal Experiments,exclude,,IN,FLAGGED,"verifier: The specialty is neurosurgery, which is explicitly excluded. While the paper describes autonomous skull milling, it falls within an excluded specialty. The instructions state to exclude neurosurgery …",IN,FLAGGED,"verifier: The specialty is neurosurgery, which is explicitly excluded. While the abstract mentions a generalizable task (skull milling), the context is specifically neurosurgical, triggering the exclusion crit…",IN,FLAGGED,"verifier: The specialty is neurosurgery, which is explicitly excluded. While the abstract mentions a generalizable task (skull milling), the context is specifically neurosurgical, triggering the exclusion crit…"
372,EE-220,Autonomous Spinal Robotic System for Transforaminal Lumbar Epidural Injections: A Proof of Concept of Study.,exclude,,IN,FLAGGED,"verifier: The abstract describes a robotic system assisting with injections, but does not detail any autonomous or semi-autonomous behavior. The system appears to facilitate accurate placement, but doesn't ind…",OUT,OUT,"primary: The paper describes a robotic system for transforaminal lumbar epidural injections, which is a procedure typically associated with neurosurgery. According to the exclusion criteria, neurosurgery is e…",OUT,OUT,"primary: The paper describes a robotic system for transforaminal lumbar epidural injections, but the abstract does not provide sufficient information to determine if the system involves autonomous or semi-aut…"
450,EE-298,Development and preliminary assessment of a robotic platform for neuroendoscopy based on a lightweight robot.,exclude,,IN,FLAGGED,"verifier: The specialty is neurosurgery, which is explicitly excluded unless the task is generalizable. The abstract only mentions 'autonomous' and 'hands-on control' without detailing a generalizable task or …",OUT,OUT,"primary: The paper describes a robotic platform for neuroendoscopy, which falls under neurosurgery, a specialty explicitly excluded unless the autonomous task is generalizable. The abstract mentions 'accurate…",OUT,OUT,primary: The paper describes a robotic platform for neuroendoscopy but does not provide sufficient information to determine if it involves autonomous or semi-autonomous robotic control of a physical surgical …
582,EE-430,Influence of the Localization Strategy on the Accuracy of a Neurosurgical Robot System,exclude,,IN,FLAGGED,"verifier: While the abstract mentions a 'robot system for frameless stereotactic neurosurgery', it focuses on localization strategies to *improve accuracy* rather than demonstrating autonomous or semi-autonomo…",OUT,OUT,"primary: The paper focuses on neurosurgical robotics, which is excluded under the specialty scope. Neurosurgery is explicitly excluded unless the autonomous task is generalizable. The paper describes a neuros…",OUT,OUT,"primary: The paper describes a neurosurgical robot system (RONNA) and evaluates localization strategies for frameless stereotactic neurosurgery. However, it does not involve any level of surgical autonomy (Le…"
737,EE-585,Position planning for collaborating robots and its application in neurosurgery,exclude,,IN,FLAGGED,"verifier: The paper focuses on neurosurgery, which is an excluded specialty. While the abstract mentions 'collaborating robots', it does not explicitly state that the robots perform any autonomous surgical act…",OUT,OUT,"primary: The paper's title and abstract suggest it focuses on neurosurgery and position planning for collaborating robots, but it does not clearly indicate the presence of autonomous or semi-autonomous roboti…",OUT,OUT,"primary: The paper describes position planning for collaborating robots in neurosurgery, but it does not clearly indicate the presence of an autonomous or semi-autonomous robotic component that controls or di…"
264,EE-112,Precise path planning for robot-assisted craniotomy: a CT-driven virtual center method.,exclude,,IN,IN,verifier: The abstract explicitly states the development of a path planning method for *robotic* craniotomy that *automatically generates surgical paths* and integrates with *force-based robotic surgical syste…,IN,FLAGGED,"verifier: The abstract describes a robotic system used for craniotomy, but focuses on *path planning* and does not demonstrate the robot *executing* the craniotomy autonomously or semi-autonomously. The system…",FLAGGED,FLAGGED,"p1 exclude: The paper describes a robotic system for craniotomy, but it is explicitly focused on force-based robotic surgical syste… | p2 include: The paper describes a robotic system for craniotomy that involves autonomous path planning using CT images. The system …"
413,EE-261,Robot-Based Autonomous Neuroregistration and Neuronavigation: Implementation and Case Studies.,exclude,,IN,FLAGGED,"verifier: The paper describes a neurosurgical application, which is an excluded specialty. While the abstract details autonomous navigation and registration, the specialty context dictates exclusion based on t…",IN,FLAGGED,"verifier: The study focuses on neurosurgery, which is an excluded specialty. While the abstract describes autonomous navigation, the context is specifically neurosurgical, and the task (neuroregistration and n…",IN,FLAGGED,"verifier: The study focuses on neurosurgery, which is an excluded specialty. While the abstract describes autonomous navigation, the context is specifically neurosurgical, and the task (neuroregistration and n…"
429,EE-277,Robot-guided neuromapping during nerve-sparing taTME for low rectal cancer.,exclude,,IN,FLAGGED,"verifier: While the paper describes a 'robot-guided' neuromapping process, the abstract indicates the robot is used to *position* a probe for neuromapping, but the neuromapping itself (electrophysiological eva…",OUT,OUT,"primary: The paper describes a robot-guided neuromapping system for nerve-sparing taTME, but it is focused on neurosurgery and specifically involves specialty-specific autonomous tasks (neuromapping for recta…",OUT,OUT,"primary: The paper describes a robot-guided neuromapping system during TME surgery, but it does not involve an autonomous or semi-autonomous robotic component that controls or directs a physical robot to exec…"
800,EE-648,Robotic-Arm-Based Force Control by Deep Deterministic Policy Gradient in Neurosurgical Practice,exclude,,IN,FLAGGED,"verifier: The abstract describes a reinforcement learning agent optimizing force control for a robotic arm *during* neurosurgical practice, but does not explicitly state the robot *executes* any surgical actio…",OUT,OUT,"primary: The paper focuses on neurosurgical practice and describes the use of reinforcement learning (DDPG) for robotic-arm-based force control. However, it does not clearly involve autonomous or semi-autonom…",OUT,OUT,"primary: The paper describes a reinforcement learning approach for force control in neurosurgical practice, but it does not clearly involve an autonomous or semi-autonomous robotic component that controls or …"
435,EE-283,Semi-autonomous image-guided brain tumour resection using an integrated robotic system: A bench-top study.,exclude,,IN,FLAGGED,"verifier: The abstract describes a 'semi-automated' setup, but the context is neurosurgery, which is an excluded specialty. While the paper involves a physical task, the specialty exclusion overrides inclusion…",IN,FLAGGED,"verifier: The abstract describes a 'semi-automated laboratory setup' and a 'simulating' procedure. While it mentions robotic assistance, the focus is on the setup and simulation itself, not the execution of a …",IN,FLAGGED,"verifier: The abstract describes a 'semi-automated laboratory setup' and a 'simulating' procedure. While it mentions robotic assistance, the focus is on the setup and simulation itself, not the execution of a …"
404,EE-252,Validation of High Precision Robot-Assisted Methods for Intracranial Applications: Preliminary Study.,exclude,,IN,FLAGGED,"verifier: While the abstract mentions 'autonomous' registration and neuronavigation, the surgical task is performed on a vegetable (carrot) and the focus is on registration/navigation accuracy, not the executi…",OUT,OUT,"primary: The paper describes a simulation study using a vegetable specimen to validate robot-based autonomous neuroregistration and neuronavigation for neurosurgery. However, it does not demonstrate or evalua…",OUT,OUT,"primary: The paper describes a simulation study using a vegetable model to validate robot-based autonomous neuroregistration and neuronavigation for neurosurgery. However, it does not demonstrate or evaluate …"
280,EE-128,A novel robot-assisted subretinal injection system: preliminary validation in ex vivo porcine eyes.,exclude,,IN,FLAGGED,"verifier: The study focuses on ophthalmic surgery, which is explicitly excluded from the specialty scope. While the abstract describes a semi-autonomous component for retinal puncture, the overall surgical spe…",IN,FLAGGED,"verifier: The study focuses on ophthalmic surgery, which is explicitly excluded from the specialty scope. While the abstract describes autonomous retinal puncture, the overall context is a procedure within an …",IN,FLAGGED,"verifier: The study focuses on ophthalmic surgery, which is explicitly excluded from the specialty scope. While the abstract describes autonomous retinal puncture, the overall context is a procedure within an …"
333,EE-181,Autonomous Needle Navigation in Subretinal Injections via iOCT.,exclude,,IN,FLAGGED,"verifier: The specialty is ophthalmic surgery, which is explicitly excluded. While the abstract describes autonomous needle navigation, the procedure is specific to ophthalmic/retinal injections and therefore …",IN,FLAGGED,"verifier: The specialty is ophthalmic surgery, which is explicitly excluded. While the abstract describes autonomous needle navigation, the procedure (subretinal injection) falls within an excluded specialty.",IN,FLAGGED,"verifier: The specialty is ophthalmic surgery, which is explicitly excluded. While the abstract describes autonomous needle navigation, the procedure (subretinal injection) falls within an excluded specialty."
650,EE-498,Data-Driven Modelling and Control for Robot Needle Insertion in Deep Anterior Lamellar Keratoplasty,exclude,,IN,FLAGGED,"verifier: The paper describes a robotic system controlling needle insertion, but the specialty (ophthalmic surgery) is explicitly excluded. While the task itself (needle insertion) *could* be generalizable, th…",IN,FLAGGED,"verifier: The abstract describes a robotic needle insertion system, but focuses on *controlling* the robot based on a model predictive controller. It does not demonstrate or evaluate autonomous/semi-autonomous…",IN,FLAGGED,"verifier: The abstract describes a robotic needle insertion system, but focuses on *controlling* the robot based on a model predictive controller. It does not demonstrate or evaluate autonomous/semi-autonomous…"
325,EE-173,Entirely robotic cochlear implant surgery.,exclude,,IN,FLAGGED,"verifier: The paper describes a robotic *assistance* with electrode insertion, but the abstract does not indicate any autonomous or semi-autonomous decision-making by the robot. It appears to be a motorized de…",OUT,OUT,"primary: The paper describes a robotic cochlear implant surgery, which is a surgical procedure. However, it does not involve an autonomous or semi-autonomous robotic component that controls or directs a physi…",OUT,OUT,"primary: The paper describes a robotic system for cochlear implant surgery, but it does not involve an autonomous or semi-autonomous robotic component that controls or directs a physical robot to execute a su…"
426,EE-274,Intraocular robotic interventional surgical system (IRISS): Semi-automated OCT-guided cataract removal.,exclude,,IN,FLAGGED,"verifier: The specialty is ophthalmic surgery, which is explicitly excluded. While the abstract describes a semi-automated system, the exclusion criteria specifically exclude ophthalmic surgery.",IN,FLAGGED,"verifier: The specialty is ophthalmic surgery, which is explicitly excluded. While the abstract describes a semi-automated system, the exclusion criteria specifically exclude ophthalmic surgery papers.",IN,FLAGGED,"verifier: The specialty is ophthalmic surgery, which is explicitly excluded. While the abstract describes a semi-automated system, the exclusion criteria specifically exclude ophthalmic surgery papers."
596,EE-444,Research on Intraoperative Cornea-Instrument-Robot Interaction for Autonomous Cornea Suturing,exclude,,IN,FLAGGED,"verifier: The specialty is ophthalmic surgery, which is explicitly excluded. While the abstract describes autonomous corneal suturing, the specialty exclusion overrides inclusion criteria.",IN,FLAGGED,"verifier: The specialty is ophthalmic surgery, which is explicitly excluded. While the abstract describes autonomous suturing, the specialty context triggers exclusion per the defined scope.",IN,FLAGGED,"verifier: The specialty is ophthalmic surgery, which is explicitly excluded. While the abstract describes autonomous suturing, the specialty context triggers exclusion per the defined scope."
341,EE-189,Robotic Navigation Autonomy for Subretinal Injection via Intelligent Real-Time Virtual iOCT Volume Slicing.,exclude,,IN,FLAGGED,"verifier: The paper focuses on ophthalmic surgery, which is explicitly excluded in the specialty scope. While the abstract describes autonomous navigation, the surgical specialty falls outside the inclusion cr…",OUT,OUT,"primary: The paper describes a robotic system for subretinal injection, which falls under ophthalmic surgery. Ophthalmic surgery is explicitly excluded in the specialty scope. Additionally, the paper focuses …",IN,FLAGGED,"verifier: The abstract describes a robotic system for subretinal injection, which falls under ophthalmic surgery – an excluded specialty. While the system utilizes autonomous navigation, the procedure itself i…"
309,EE-157,Towards Autonomous Retinal Microsurgery Using RGB-D Images.,exclude,,IN,FLAGGED,"verifier: The paper focuses on retinal microsurgery, which is explicitly excluded by the specialty scope. While the abstract describes autonomous needle navigation, the surgical specialty falls outside the inc…",IN,FLAGGED,"verifier: The specialty is ophthalmic surgery, which is explicitly excluded. While the abstract describes autonomous navigation, the procedure (retinal microsurgery) falls within an excluded specialty.",IN,FLAGGED,"verifier: The specialty is ophthalmic surgery, which is explicitly excluded. While the abstract describes autonomous navigation, the procedure (retinal microsurgery) falls within an excluded specialty."
730,EE-578,Vitreoretinal Surgical Robot,exclude,,IN,FLAGGED,"verifier: The paper focuses on ophthalmic surgery, which is explicitly excluded from the specialty scope. While the abstract describes autonomous positioning, the surgical task (vitreoretinal surgery/ILM peeli…",IN,FLAGGED,"verifier: The specialty is ophthalmic surgery, which is explicitly excluded. While the abstract describes autonomous positioning, the surgical task (vitreoretinal surgery/ILM peeling) falls within an excluded …",IN,FLAGGED,"verifier: The specialty is ophthalmic surgery, which is explicitly excluded. While the abstract describes autonomous positioning, the surgical task (vitreoretinal surgery/ILM peeling) falls within an excluded …"
785,EE-633,Automatic bone drilling using a novel robot in orthopedic trauma surgery,exclude,,IN,FLAGGED,"verifier: The paper focuses on orthopedic trauma surgery, which is an excluded specialty. While the robot performs bone drilling, the abstract emphasizes that the robot follows parameters *defined by the surge…",IN,FLAGGED,"verifier: The paper focuses on orthopedic trauma surgery, which is an excluded specialty. While the abstract describes a robot performing bone drilling, the specialty context dictates exclusion based on the de…",IN,FLAGGED,"verifier: The paper focuses on orthopedic trauma surgery, which is an excluded specialty. While the abstract describes a robot performing bone drilling, the specialty context dictates exclusion based on the de…"
684,EE-532,Design and Accuracy Assessment of an Automated Image-Guided Robotic Osteotomy System,exclude,,IN,FLAGGED,"verifier: The study focuses on robotic spine surgery (orthopedic surgery), which is an excluded specialty. While the system automates osteotomy, the specialty context triggers exclusion based on the defined sc…",IN,FLAGGED,"verifier: The study focuses on robotic spine osteotomy, which falls under orthopedic surgery – an excluded specialty. While the abstract describes a physical surgical task performed with a robotic system, the …",IN,FLAGGED,"verifier: The study focuses on robotic spine osteotomy, which falls under orthopedic surgery – an excluded specialty. While the abstract describes a physical surgical task performed with a robotic system, the …"
782,EE-630,Evaluation of the safety and efficacy of the fully automated active robotic system in robotic assisted total knee arthroplasty,exclude,,IN,FLAGGED,"verifier: The paper describes a 'fully automated active robotic system' performing bone milling in TKA. However, the abstract focuses on the *results* of the automation (accuracy, safety) rather than *how* the…",IN,FLAGGED,"verifier: The study focuses on Total Knee Arthroplasty (TKA), which falls under orthopedic surgery – an excluded specialty. While the system is described as 'fully automated', the context is a specialty-specif…",IN,FLAGGED,"verifier: The study focuses on Total Knee Arthroplasty (TKA), which falls under orthopedic surgery – an excluded specialty. While the system is described as 'fully automated', the context is a specialty-specif…"
403,EE-251,Feasibility and accuracy of a robotic guidance system for navigated spine surgery in a hybrid operating room: a cadaver study.,exclude,,IN,FLAGGED,"verifier: The study focuses on spine surgery, which is an excluded specialty. While the robot assists with pedicle screw placement, the surgeon still *inserts* the needle. The robot autonomously aligns, but do…",IN,FLAGGED,"verifier: The study focuses on navigated spine surgery, which falls under the excluded specialty of neurosurgery. While the abstract describes a robotic *assistance* component, the task (pedicle screw placemen…",IN,FLAGGED,"verifier: The study focuses on navigated spine surgery, which falls under the excluded specialty of neurosurgery. While the abstract describes a robotic *assistance* component, the task (pedicle screw placemen…"
795,EE-643,Handheld Robot for Bone Drilling Assistance,exclude,,IN,FLAGGED,"verifier: While the abstract describes a robotic *assistance* system, it is fundamentally a handheld robot guided by the surgeon. The robot follows the surgeon's motion and provides compensation, but does not …",IN,FLAGGED,"verifier: The abstract describes a handheld robot *assisting* the surgeon, but the surgeon still positions the handle and directs the tool. The robot provides force sensing and trajectory compensation, but doe…",IN,FLAGGED,"verifier: The abstract describes a handheld robot *assisting* the surgeon, but the surgeon still positions the handle and directs the tool. The robot provides force sensing and trajectory compensation, but doe…"
655,EE-503,Kinematic alignment in robotic total knee arthroplasty,exclude,,IN,FLAGGED,"verifier: The abstract describes a robotic system used to *assist* in total knee arthroplasty, but does not indicate any autonomous or semi-autonomous behavior. The system executes bone resection *with high ac…",OUT,OUT,"primary: The paper describes a robotic total knee arthroplasty system used for kinematic alignment, but it does not mention any level of autonomy in the robotic system. The robotic system is used for precise …",OUT,OUT,"primary: The paper describes the use of a robotic system in total knee arthroplasty, but it does not involve any level of surgical autonomy (Levels 1–5 per the Yang et al. taxonomy). The robotic system is use…"
736,EE-584,Method for Sensing Lateral Force and Skidding on the Tool Tip in Surgical Robot Deep Bone Drilling <sup>*</sup>,exclude,,IN,FLAGGED,"verifier: While the abstract mentions paving the way for *future* autonomous bone drilling, the paper itself describes a sensing system to *detect* skidding, not a system that performs autonomous drilling. The…",IN,FLAGGED,"verifier: While the abstract mentions paving the way for *future* autonomous bone drilling, the presented work focuses on sensing and estimation of skidding – it does not describe or demonstrate any autonomous…",OUT,OUT,primary: The paper describes a sensing system for bone drilling in orthopedic surgery but does not involve an autonomous or semi-autonomous robotic component that controls or directs a physical robot to execu…
641,EE-489,Motion Planning and Control of Active Robot in Orthopedic Surgery by CDMP-Based Imitation Learning and Constrained Optimization,exclude,,IN,FLAGGED,"verifier: The paper focuses on orthopedic surgery, which is an excluded specialty according to the guidelines. While the abstract describes semi-autonomous features (imitation learning and constrained optimiza…",IN,FLAGGED,"verifier: The paper focuses on orthopedic surgery, which is an excluded specialty according to the guidelines. While the abstract describes autonomous behavior, the specialty exclusion overrides inclusion crit…",IN,FLAGGED,"verifier: The paper focuses on orthopedic surgery, which is an excluded specialty according to the guidelines. While the abstract describes autonomous behavior, the specialty exclusion overrides inclusion crit…"
270,EE-118,"The Accuracy of Autonomous Robotic Surgery vs. Dynamic Navigation in Implant Placement: An Open-Label, Double-Arm, Randomized Controlled Clinical Trial.",exclude,,IN,FLAGGED,"verifier: The abstract describes a randomized controlled trial comparing autonomous robotic surgery to dynamic navigation for implant placement. While it mentions 'autonomous robotic surgery', the context sugg…",IN,FLAGGED,"verifier: The abstract explicitly describes implant placement, a procedure strongly associated with orthopedic surgery, which is an excluded specialty. While the abstract mentions 'autonomous robotic surgery',…",IN,FLAGGED,"verifier: The abstract explicitly describes implant placement, a procedure strongly associated with orthopedic surgery, which is an excluded specialty. While the abstract mentions 'autonomous robotic surgery',…"
278,EE-126,The role of next-generation robotic systems in transforming knee arthroplasty: precision and beyond.,exclude,,IN,FLAGGED,"verifier: The abstract describes robotic-assisted total knee arthroplasty (RATKA), but focuses on surgeon-guided systems (ROSA, CORI) and a fully autonomous system (CUVIS). However, the primary focus is a *rev…",OUT,OUT,"primary: The paper discusses robotic-assisted total knee arthroplasty (RATKA) and mentions systems like the CUVIS Joint Robot, ROSA, and CORI Knee platform. However, it does not clearly specify whether these …",OUT,OUT,"primary: The paper describes robotic-assisted total knee arthroplasty (RATKA) systems, which are primarily teleoperated/master-slave systems where the human surgeon controls the robot. It does not clearly ind…"
18,EE-010,A Comparative Study of Spatio-Temporal U-Nets for Tissue Segmentation in Surgical Robotics,exclude,,IN,FLAGGED,"verifier: The abstract focuses on tissue segmentation using machine learning for improved accuracy, but does not describe a robot executing surgical actions. It details a methodology for analyzing surgical vid…",OUT,OUT,"primary: The paper focuses on developing a neural network for tissue segmentation in endoscopic images, which is a part of the autonomous surgical robotics pipeline. However, it does not describe a physical s…",OUT,OUT,"primary: The paper describes a neural network architecture for tissue segmentation in endoscopic images, which is a part of the data processing pipeline for surgical robotics. However, it does not involve an …"
613,EE-461,A Robotic Microforceps for Retinal Microsurgery With Adaptive Clamping Method,exclude,opthalmic,IN,FLAGGED,"verifier: The abstract describes a robotic microforceps, but focuses on the design and calibration of the device and an adaptive clamping *method*. While the device is 'automated', the abstract does not demons…",OUT,OUT,"primary: The paper describes a robotic microforceps for retinal microsurgery, which is a specialized procedure in ophthalmic surgery. According to the exclusion criteria, ophthalmic surgery is explicitly excl…",OUT,OUT,"primary: The paper describes a robotic microforceps for retinal microsurgery, but it does not involve any level of surgical autonomy (Levels 1–5 per the Yang et al. taxonomy). The device is controlled by the …"
